Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@0.5:0.95,#1,#2,#3
    22/149,     9.42G,   0.03689,  0.005654,  0.003569,   0.04611,        95,       640,    0.8412,    0.6431,     0.725,    0.4189,   0.05543,  0.007256,  0.006502
    23/149,     9.42G,   0.03702,  0.005667,  0.003436,   0.04612,       101,       640,    0.7813,    0.7009,    0.7511,    0.4381,   0.05426,  0.007357,  0.005937
    24/149,     9.42G,   0.03648,  0.005654,  0.003472,   0.04561,        94,       640,     0.853,    0.6467,    0.7387,    0.4294,   0.05375,  0.007086,  0.006195
    25/149,     9.42G,   0.03606,  0.005676,  0.003419,   0.04516,        93,       640,     0.832,    0.6417,    0.7189,    0.4439,    0.0544,  0.008073,  0.006862
    26/149,     9.42G,   0.03595,  0.005704,  0.003317,   0.04497,       108,       640,    0.8535,    0.6643,     0.766,    0.4267,   0.05226,  0.008058,  0.006599
    27/149,     5.87G,   0.03556,  0.005669,  0.003221,   0.04445,       118,       640,     0.817,    0.6718,    0.7338,    0.4071,   0.05442,  0.007642,   0.00665
    28/149,     9.42G,   0.03479,  0.005567,  0.002934,   0.04329,       119,       640,    0.8923,    0.6797,     0.753,    0.4372,   0.05075,  0.007831,  0.007007
    29/149,     9.42G,   0.03496,  0.005437,  0.002978,   0.04338,        90,       640,    0.9108,    0.6993,    0.7978,    0.4959,   0.04741,  0.007954,  0.005695
    30/149,     9.42G,   0.03463,  0.005454,  0.002839,   0.04292,        99,       640,    0.8826,    0.6796,     0.779,    0.4797,   0.04918,  0.007456,  0.006827
    31/149,     9.42G,   0.03408,  0.005464,  0.002812,   0.04235,        76,       640,    0.8841,    0.6422,    0.7242,    0.4345,   0.04944,   0.00851,  0.007351
    32/149,     9.42G,   0.03424,  0.005558,  0.002701,    0.0425,       106,       640,    0.8728,    0.7486,    0.8042,    0.4849,   0.04706,  0.008146,  0.006033
    33/149,     9.42G,   0.03405,  0.005498,  0.002836,   0.04239,        80,       640,    0.8179,    0.6928,    0.7509,    0.4688,   0.04815,  0.008129,  0.007005
    34/149,     9.42G,   0.03389,   0.00541,  0.002807,    0.0421,        75,       640,    0.8611,    0.7063,    0.7657,    0.4719,   0.04706,  0.008586,  0.005952
    35/149,     9.42G,    0.0334,  0.005336,  0.002644,   0.04138,        95,       640,    0.8703,    0.7179,    0.7984,    0.5018,   0.04702,  0.007905,  0.006358
    36/149,     9.42G,   0.03339,  0.005348,  0.002575,   0.04131,       101,       640,    0.8687,    0.7365,    0.8083,    0.4928,   0.04617,  0.008007,  0.006325
    37/149,     9.42G,   0.03299,  0.005328,  0.002764,   0.04108,        94,       640,    0.9399,     0.755,    0.8343,    0.5203,   0.04528,  0.007781,  0.005501
    38/149,     9.42G,   0.03288,  0.005318,  0.002499,    0.0407,        93,       640,    0.8934,    0.7497,    0.8312,    0.5328,   0.04438,   0.00813,  0.005816
    39/149,     9.42G,   0.03301,  0.005404,  0.002538,   0.04095,       108,       640,    0.8858,    0.7154,     0.795,    0.4977,   0.04481,  0.008429,  0.005806
    40/149,     9.42G,    0.0331,  0.005386,  0.002767,   0.04125,       114,       640,    0.9072,    0.7233,     0.822,    0.5229,   0.04524,  0.008067,  0.006412
    41/149,     9.42G,   0.03363,  0.005356,  0.002923,   0.04191,        83,       640,    0.8775,    0.7476,    0.8223,    0.5052,   0.04488,  0.008131,  0.005612
    42/149,     9.42G,   0.03321,  0.005366,  0.002856,   0.04143,        91,       640,    0.8851,    0.7558,     0.827,    0.5068,   0.04621,   0.00759,  0.005824
    43/149,     9.42G,   0.03316,  0.005325,  0.002794,   0.04128,        91,       640,    0.8998,    0.7647,    0.8322,    0.5196,   0.04438,  0.008075,  0.005695
    44/149,     9.42G,   0.03316,  0.005383,  0.002727,   0.04127,        93,       640,    0.9264,    0.7315,    0.8393,    0.5162,   0.04496,  0.008237,  0.006274
    45/149,     9.42G,   0.03268,  0.005248,  0.002604,   0.04054,        96,       640,     0.923,    0.7608,    0.8447,    0.5289,   0.04411,  0.008029,  0.005028
    46/149,     9.42G,   0.03251,  0.005324,  0.002503,   0.04033,       102,       640,    0.9123,    0.7746,    0.8469,    0.5275,   0.04363,  0.008101,  0.005091
    47/149,     5.87G,   0.03174,  0.005325,  0.002309,   0.03937,       118,       640,    0.8681,     0.759,    0.8252,    0.5151,   0.04392,  0.007941,  0.005826
    48/149,     9.42G,   0.03143,  0.005251,  0.002314,     0.039,       119,       640,    0.9149,    0.7649,    0.8479,    0.5326,   0.04464,  0.007957,  0.005639
    49/149,     9.42G,   0.03154,  0.005118,  0.002368,   0.03903,        90,       640,    0.9173,    0.7831,    0.8473,    0.5633,   0.04304,  0.007949,  0.005224
    50/149,     9.42G,   0.03148,   0.00516,  0.002305,   0.03895,        99,       640,    0.9279,    0.7335,    0.8471,    0.5529,   0.04415,  0.007566,  0.006255
    51/149,     9.42G,   0.03076,  0.005135,  0.002168,   0.03806,        76,       640,    0.9205,      0.76,    0.8508,    0.5555,   0.04349,  0.007676,  0.005548
    52/149,     9.42G,    0.0313,  0.005252,  0.002132,   0.03869,       106,       640,    0.8818,    0.7715,    0.8566,    0.5507,   0.04304,   0.00792,  0.004984
    53/149,     9.42G,   0.03094,  0.005239,  0.002213,   0.03839,        80,       640,    0.8846,    0.7857,    0.8616,    0.5551,   0.04377,  0.007583,  0.005107
    54/149,     9.42G,   0.03073,  0.005015,  0.002113,   0.03785,        75,       640,    0.9094,    0.7845,    0.8597,    0.5549,   0.04429,  0.007362,  0.005753
    55/149,     9.42G,   0.03018,  0.004994,  0.002183,   0.03735,        95,       640,    0.9503,    0.7622,     0.856,    0.5625,   0.04351,  0.007107,  0.005482
    56/149,     9.42G,   0.03032,  0.005052,  0.002067,   0.03744,       101,       640,     0.923,     0.769,     0.852,    0.5382,   0.04372,  0.007646,  0.005178
    57/149,     9.42G,   0.03053,  0.005042,  0.002277,   0.03785,        94,       640,    0.9399,    0.7794,    0.8646,    0.5644,   0.04272,  0.007466,  0.005332
    58/149,     9.42G,   0.03012,  0.005022,  0.002112,   0.03726,        93,       640,    0.9188,    0.7696,    0.8424,    0.5492,   0.04319,  0.007907,  0.005729
    59/149,     9.42G,   0.03016,  0.005122,  0.002172,   0.03746,       108,       640,    0.8956,    0.7881,    0.8514,    0.5598,   0.04236,  0.007757,  0.005588
    60/149,     9.42G,   0.02978,  0.004994,  0.002105,   0.03688,       114,       640,    0.8898,    0.7976,    0.8673,    0.5754,   0.04187,  0.007581,   0.00523
    61/149,     8.83G,    0.0309,  0.005104,  0.002373,   0.03838,        80,       640,    0.9059,    0.7651,    0.8608,    0.5649,    0.0421,  0.007669,  0.005342
    62/149,     8.84G,    0.0309,  0.005131,  0.002389,   0.03842,        69,       640,    0.9146,    0.7992,    0.8742,    0.5772,   0.04138,  0.007782,  0.004993
    63/149,     8.84G,   0.03042,  0.005066,  0.002263,   0.03775,        87,       640,    0.9121,    0.8124,    0.8784,    0.5756,   0.04152,  0.007558,  0.004928
    64/149,     8.84G,   0.03064,  0.005067,  0.002331,   0.03804,        98,       640,    0.8947,    0.7922,    0.8658,    0.5649,   0.04219,  0.007559,  0.005208
    65/149,     8.84G,   0.03046,  0.005028,  0.002142,   0.03763,        82,       640,    0.9437,    0.8101,    0.8831,    0.5784,   0.04161,  0.007285,  0.004878
    66/149,     8.84G,   0.03028,  0.005104,  0.002331,   0.03771,        75,       640,     0.898,    0.8127,     0.876,    0.5796,   0.04134,  0.007541,  0.005124
    67/149,     8.84G,    0.0302,  0.005025,   0.00225,   0.03747,        97,       640,    0.9461,    0.7866,    0.8791,    0.5821,    0.0413,  0.007485,  0.004949
    68/149,     8.84G,   0.03029,   0.00505,  0.002499,   0.03784,        94,       640,     0.948,    0.7987,    0.8864,    0.5894,   0.04093,  0.007594,  0.004797
    69/149,     8.84G,   0.03007,   0.00498,  0.002345,   0.03739,        98,       640,    0.9003,    0.8391,    0.8858,    0.5927,   0.04085,  0.007474,  0.004698
    70/149,     8.84G,   0.02974,  0.004967,  0.002079,   0.03679,       113,       640,    0.9134,    0.8329,    0.8852,     0.594,   0.04028,  0.007591,  0.004743
    71/149,     8.84G,   0.02966,  0.005087,  0.002224,   0.03697,        83,       640,    0.9066,    0.8402,    0.8891,    0.6086,   0.03946,  0.007553,  0.004634
    72/149,     8.84G,   0.02978,  0.004835,  0.002174,   0.03679,        67,       640,    0.9088,    0.8317,    0.8852,    0.5999,   0.04011,  0.007398,  0.004983
    73/149,     8.84G,   0.02952,  0.004916,  0.002225,   0.03666,        88,       640,     0.957,    0.8012,    0.8848,    0.6065,   0.03978,  0.007441,  0.004687
    74/149,     8.84G,   0.02951,  0.004918,  0.002075,   0.03651,        99,       640,    0.9282,    0.8441,    0.8993,     0.614,   0.03905,  0.007514,  0.004545
    75/149,     8.84G,    0.0296,  0.004927,  0.002158,   0.03668,        99,       640,    0.9341,    0.8366,    0.8922,    0.5988,   0.04013,  0.007437,  0.004718
    76/149,     8.84G,   0.02945,  0.004954,  0.002174,   0.03658,        88,       640,    0.9276,    0.8333,    0.8934,    0.6073,   0.03971,  0.007292,  0.004726
